name,description,size_category,size_description,image,dietary_needs,health_issues,care_instructions,special_considerations,min_height_cm,max_height_cm,min_weight_kg,max_weight_kg,life_expectancy_years,energy_level,grooming_needs,shedding_level,trainability,barking_level,good_with_children,good_with_other_dogs,good_with_strangers,exercise_needs_minutes
Golden Retriever,Intelligent and friendly breed known for their gentle nature and excellent family compatibility,large,Well-proportioned and sturdy with a distinctive golden coat,https://images.unsplash.com/photo-1633722715463-d30f4f325e24?auto=format&fit=crop&w=800&q=80,High-quality protein diet with balanced nutrients;Fish oil supplements recommended,Hip dysplasia;Cancer;Heart problems,Daily brushing;Regular exercise;Teeth cleaning,Prone to weight gain;Needs mental stimulation,53,61,25,34,12,7,6,8,9,4,true,true,true,60
Chihuahua,Small but confident breed with a big personality,small,Compact and graceful with distinctive apple-shaped head,https://images.unsplash.com/photo-1583512603806-077998240c7a?auto=format&fit=crop&w=800&q=80,Small frequent meals;High-quality small breed formula,Dental problems;Patellar luxation;Heart disease,Regular dental care;Gentle exercise;Keep warm,Fragile bones;Cold sensitive;Can be stubborn,15,23,1.5,3,15,6,3,2,7,8,true,false,false,30
Australian Shepherd,Highly intelligent and energetic herding dog,medium,Athletic and well-balanced with distinctive merle coat patterns,https://images.unsplash.com/photo-1598133894008-61f7fdb8cc3a?auto=format&fit=crop&w=800&q=80,High-protein active dog formula;Multiple meals daily,Hip dysplasia;Eye problems;MDR1 gene sensitivity,Intensive daily exercise;Regular brushing;Mental challenges,High exercise needs;Requires job or activity,46,58,18,32,13,9,7,7,10,6,true,true,false,120
Pug,Charming and loving companion with a wrinkled face,small,Compact and square-proportioned with muscular body,https://images.unsplash.com/photo-1517849845537-4d257902454a?auto=format&fit=crop&w=800&q=80,Controlled portions to prevent obesity;Low-fat diet recommended,Brachycephalic syndrome;Eye problems;Skin fold dermatitis,Daily face fold cleaning;Moderate exercise;Temperature control,Heat sensitive;Breathing issues;Snoring,25,30,6,8,12,4,3,3,7,3,true,true,true,40
Siberian Husky,Independent and energetic working dog with striking appearance,medium,Athletic and well-proportioned with distinctive coat patterns,https://images.unsplash.com/photo-1605568427561-40dd23c2acea?auto=format&fit=crop&w=800&q=80,High-protein diet;Controlled portions,Hip dysplasia;Eye problems;Skin allergies,Extensive daily exercise;Regular brushing;Secure fencing,High prey drive;Escape artist;Needs cold climate,50,60,20,27,12,9,5,9,6,7,true,true,true,120
Dachshund,Clever and courageous breed with distinctive long body,small,Long and low-set body with short legs,https://images.unsplash.com/photo-1612195583950-b8fd34c87093?auto=format&fit=crop&w=800&q=80,Weight control essential;Joint supplements recommended,IVDD;Dental problems;Obesity,Prevent jumping;Regular exercise;Back support,Spine protection;Can be stubborn,20,27,4,11,14,5,3,4,7,8,true,false,false,45
Great Dane,Gentle giant known for their patient and friendly nature,giant,Tall and elegant with powerful build,https://images.unsplash.com/photo-1588943211346-0908a1fb0b01?auto=format&fit=crop&w=800&q=80,Large breed formula;Multiple meals daily;Joint supplements,Bloat;Hip dysplasia;Heart problems,Moderate exercise;Basic grooming;Joint care,Short lifespan;Space needs;Late maturity,71,86,50,90,8,5,2,3,8,4,true,true,true,60
Border Collie,Highly intelligent and energetic herding breed,medium,Athletic and agile with medium build,https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?auto=format&fit=crop&w=800&q=80,High-energy performance diet;Quality protein sources,Hip dysplasia;Eye problems;Epilepsy,Intensive exercise;Mental stimulation;Regular grooming,Extremely high energy;Needs constant activity,46,56,14,20,14,10,5,6,10,5,true,true,false,150
Shih Tzu,Affectionate and friendly companion dog,small,Compact with distinctive flowing coat,https://images.unsplash.com/photo-1591768575198-88dac53fbd0a?auto=format&fit=crop&w=800&q=80,Small breed formula;Regular small meals,Respiratory problems;Eye issues;Hip dysplasia,Daily grooming;Regular bathing;Eye cleaning,Grooming intensive;Heat sensitive,20,28,4,7,13,4,8,3,7,5,true,true,true,30
Rottweiler,Confident and loyal guardian breed,large,Powerful and muscular with distinctive black and tan coloring,https://images.unsplash.com/photo-1567752881298-894bb81f9379?auto=format&fit=crop&w=800&q=80,High-protein diet;Joint supplements;Weight control,Hip dysplasia;Heart problems;Cancer,Regular exercise;Training;Socialization,Strong guarding instinct;Needs firm training,56,69,35,60,10,6,4,4,9,6,true,false,false,90
